Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.0,-1.8144082758264375,0.37905035649100205,0.0003130893217999943,1.8144082758264375,0.37905035649100205
ENSG00000237491,AL669831.5,0.02683825410484209,-0.7806876579824351,0.00922158248852493,0.046180674965499165,0.7806876579824351,0.00922158248852493
ENSG00000177757,FAM87B,0.0,-2.2294457751052814,0.2119020660796039,0.0004696339826999915,2.2294457751052814,0.2119020660796039
ENSG00000225880,LINC00115,0.0020028547839434393,-1.8733019648800058,0.00013304953059498886,0.0076706883840998615,1.8733019648800058,0.00013304953059498886
ENSG00000230368,FAM41C,0.005607993395041631,0.28992838398829957,0.6555220108259039,0.004539795166099918,-0.28992838398829957,0.6555220108259039
ENSG00000272438,AL645608.7,0.0,-1.2294457751052814,0.6291817408357153,0.00015654466089999716,1.2294457751052814,0.6291817408357153
ENSG00000230699,AL645608.3,0.003204567654309503,-0.870991804192804,0.11852130374897342,0.005948697114199892,0.870991804192804,0.11852130374897342
ENSG00000241180,AL645608.5,0.0010681892181031677,0.618551131449669,0.7724301041475065,0.0006261786435999886,-0.618551131449669,0.7724301041475071
ENSG00000223764,AL645608.1,0.0004005709567886879,-3.844155619220489,5.878614414737873e-10,0.007514143723199864,3.844155619220489,5.878614414737873e-10
ENSG00000187634,SAMD11,0.004673327829201358,-3.2640919179121717,2.1567240904334988e-23,0.04602413030459917,3.2640919179121717,2.1567240904334988e-23
ENSG00000188976,NOC2L,0.15328515279780455,-0.2776018132599325,0.39619779199939953,0.18581851248829664,0.2776018132599325,0.39619779199939953
ENSG00000187961,KLHL17,0.004272756872412671,-0.676904752076501,0.1893147685421227,0.0068879650795998755,0.676904752076501,0.1893147685421227
ENSG00000187583,PLEKHN1,0.010014273919717197,1.4949197822812925,0.0008993629660384678,0.0034439825397999378,-1.4949197822812925,0.0008993629660384678
ENSG00000187642,PERM1,0.0005340946090515838,-0.22944577510527964,1.0,0.0006261786435999886,0.22944577510527964,1.0
ENSG00000272512,AL645608.8,0.0021363784362063354,-2.370801624350821,1.8923556857459211e-07,0.01158430490659979,2.370801624350821,1.8923556857459211e-07
ENSG00000188290,HES4,0.13392422321968464,-1.9400189861045827,2.7911388493136007e-15,0.5142492110564907,1.9400189861045827,2.7911388493135853e-15
ENSG00000187608,ISG15,1.9701414891390299,-0.16659920943114548,0.6307432821031316,2.21134987987336,0.16659920943114548,0.6307432821031309
ENSG00000224969,AL645608.2,0.00013352365226289596,0.7705542248947186,1.0,0.0,-0.7705542248947186,1.0
