Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.00020646930121026824,-0.01838836838852842,1.0,0.0002091183235396548,0.01838836838852842,1.0
ENSG00000241599,AL627309.4,0.00020646930121026824,0.9816116316114716,1.0,0.0,-0.9816116316114716,1.0
ENSG00000237491,AL669831.5,0.02353750033797058,-0.9542580309688118,0.006647420697889691,0.045796912855184405,0.9542580309688118,0.006647420697889691
ENSG00000177757,FAM87B,0.00020646930121026824,-0.6033508691096845,0.8025858533611496,0.0004182366470793096,0.6033508691096845,0.8025858533611494
ENSG00000225880,LINC00115,0.002477631614523219,-0.565876163691021,0.5610913792691716,0.003764129823713787,0.565876163691021,0.5610913792691714
ENSG00000230368,FAM41C,0.005368201831466975,0.5665741323326285,0.5576188275509837,0.003555011500174132,-0.5665741323326285,0.5576188275509837
ENSG00000230699,AL645608.3,0.004335855325415633,0.19311573680518368,0.9333633734247172,0.003764129823713787,-0.19311573680518368,0.9333633734247172
ENSG00000241180,AL645608.5,0.0012388158072616094,0.20400405294791923,1.0,0.001045591617698274,-0.20400405294791923,1.0
ENSG00000223764,AL645608.1,0.0012388158072616094,-2.2110334463309247,0.0010272136780685296,0.006482668029729299,2.2110334463309247,0.0010272136780685296
ENSG00000187634,SAMD11,0.007226425542359389,-2.7851013059487855,1.6903371392398717e-14,0.051024870943675776,2.7851013059487855,1.6903371392398717e-14
ENSG00000188976,NOC2L,0.13812796250966947,-0.42641069187316294,0.23924030091222576,0.18569707130321347,0.42641069187316294,0.23924030091222576
ENSG00000187961,KLHL17,0.008052302747200462,-0.18831336983084057,0.8425696804650359,0.009201206235744813,0.18831336983084057,0.8425696804650363
ENSG00000187583,PLEKHN1,0.009291118554462071,1.4177107464181455,0.01500500778786209,0.003345893176634477,-1.4177107464181455,0.01500500778786209
ENSG00000187642,PERM1,0.0004129386024205365,-0.43342586766737234,0.8595336986179171,0.0006273549706189644,0.43342586766737234,0.8595336986179171
ENSG00000272512,AL645608.8,0.003097039518154024,-1.572977220066166,0.004729513884967941,0.009619442882824122,1.572977220066166,0.0047295138849679326
ENSG00000188290,HES4,0.20832752492116066,-0.9836926271272823,0.0007931083454583735,0.4121722156966597,0.9836926271272823,0.0007931083454583735
ENSG00000187608,ISG15,2.27054290540932,0.5546210048730152,0.0894027511353843,1.5458026476051285,-0.5546210048730152,0.08940275113538428
ENSG00000188157,AGRN,0.09497587855672339,-0.07965851172923166,0.9107860933962977,0.10037679529903432,0.07965851172923166,0.9107860933962977
ENSG00000237330,RNF223,0.011355811566564754,2.4670384587817145,6.628774854787347e-06,0.0018820649118568935,-2.4670384587817145,6.628774854787347e-06
ENSG00000131591,C1orf159,0.016311074795611193,-0.2963731156882936,0.6127801964968389,0.020075359059806862,0.2963731156882936,0.6127801964968389
ENSG00000272141,AL390719.2,0.0214728073258679,4.110894648556439,5.733325958634653e-13,0.001045591617698274,-4.110894648556439,5.733325958634653e-13
ENSG00000162571,TTLL10,0.001651754409682146,1.5665741323326277,0.3308201547151507,0.0004182366470793096,-1.5665741323326277,0.3308201547151507
ENSG00000186891,TNFRSF18,0.0012388158072616094,1.2040040529479192,0.5296625160745411,0.0004182366470793096,-1.2040040529479192,0.5296625160745411
ENSG00000186827,TNFRSF4,0.0,-2.0183883683885284,0.3078291796255554,0.0006273549706189644,2.0183883683885284,0.3078291796255554
ENSG00000078808,SDF4,0.22670329272887454,0.4560534180879112,0.19398796801300325,0.1652034755963273,-0.4560534180879112,0.19398796801300325
ENSG00000176022,B3GALT6,0.07536129494174791,1.013495692631258,0.0020344943161973964,0.03722306159005856,-1.013495692631258,0.0020344943161973964
ENSG00000184163,C1QTNF12,0.007639364144779925,-0.7246571653318172,0.20613077774129543,0.012756217735918944,0.7246571653318172,0.20613077774129543
ENSG00000260179,AL162741.1,0.0,-1.0183883683885284,0.6973682268498858,0.0002091183235396548,1.0183883683885284,0.6973682268498858
ENSG00000160087,UBE2J2,0.07556776424295818,-0.45003683051228727,0.22474808309722158,0.10330445182858948,0.45003683051228727,0.22474808309722158
ENSG00000162572,SCNN1D,0.0004129386024205365,-1.0183883683885284,0.6475887923705099,0.001045591617698274,1.0183883683885284,0.6475887923705101
ENSG00000131584,ACAP3,0.028905702169437556,0.4629515012584706,0.30404186291597446,0.020911832353965484,-0.4629515012584706,0.3040418629159742
ENSG00000169972,PUSL1,0.05554024202556216,0.6921050144164873,0.052577490162051675,0.03429540506050339,-0.6921050144164873,0.052577490162051675
ENSG00000127054,INTS11,0.05946315874855726,-0.03821954031009689,1.0,0.06106255047357921,0.03821954031009689,1.0
ENSG00000224051,CPTP,0.021885745928288434,0.06486713526082433,0.9904829448434953,0.020911832353965484,-0.06486713526082433,0.9904829448434953
ENSG00000169962,TAS1R3,0.00020646930121026824,0.9816116316114716,1.0,0.0,-0.9816116316114716,1.0
ENSG00000107404,DVL1,0.05347554901345948,0.3673548240962772,0.39490740245870515,0.04140542806085166,-0.3673548240962772,0.39490740245870515
ENSG00000162576,MXRA8,0.03344802679606346,0.7156299417273413,0.07729789227818189,0.020284477383346516,-0.7156299417273413,0.07729789227818189
ENSG00000175756,AURKAIP1,0.6088779692690811,0.020270836924986657,1.0,0.600378706882349,-0.020270836924986657,1.0
ENSG00000221978,CCNL2,0.05925668944734699,0.2750196864887853,0.5685032260782401,0.04893368770827923,-0.2750196864887853,0.5685032260782401
